year,indicator,value_10k_units,source
2023,移动通信手持机产量,156642.3,国家统计局《2023年国民经济和社会发展统计公报》
2023,微型计算机设备产量,33141.6,国家统计局《2023年国民经济和社会发展统计公报》
2023,房间空气调节器产量,24487.0,国家统计局《2023年国民经济和社会发展统计公报》
2023,彩色电视机产量,19339.6,国家统计局《2023年国民经济和社会发展统计公报》
2023,家用电冰箱产量,9632.3,国家统计局《2023年国民经济和社会发展统计公报》
2024,移动通信手持机产量,166952.9,国家统计局《2024年国民经济和社会发展统计公报》
2024,微型计算机设备产量,33912.9,国家统计局《2024年国民经济和社会发展统计公报》
2024,房间空气调节器产量,26598.4,国家统计局《2024年国民经济和社会发展统计公报》
2024,彩色电视机产量,20745.4,国家统计局《2024年国民经济和社会发展统计公报》
2024,家用电冰箱产量,10395.7,国家统计局《2024年国民经济和社会发展统计公报》
2024,移动电话用户,17.90,国家统计局《2024年国民经济和社会发展统计公报》（单位：亿户）
2024,移动互联网用户,15.70,国家统计局《2024年国民经济和社会发展统计公报》（单位：亿户）
2024,网民人数,11.08,国家统计局《2024年国民经济和社会发展统计公报》（单位：亿人）
2024,5G移动电话用户,10.14,国家统计局《2024年国民经济和社会发展统计公报》（单位：亿户）
